"unique.values" "nr.appearances"
"311" "maybe" 6833
"312" "kids" 6827
"313" "together" 6719
"314" "person" 6684
"315" "name" 6662
"316" "d" 6620
"317" "early" 6617
"318" "started" 6604
"319" "check" 6568
"320" "white" 6562
"321" "bit" 6514
"322" "believe" 6490
"323" "later" 6454
"324" "change" 6448
"325" "full" 6414
"326" "guys" 6414
"327" "past" 6378
"328" "small" 6365
"329" "kind" 6344
"330" "ago" 6338
"331" "im" 6328
"332" "children" 6253
"333" "st" 6249
"334" "course" 6242
"335" "care" 6238
"336" "less" 6235
"337" "party" 6233
"338" "wanted" 6204
"339" "awesome" 6184
"340" "month" 6157
"341" "anyone" 6156
"342" "talk" 6123
"343" "girl" 6109
"344" "half" 6105
"345" "ready" 6100
"346" "hey" 6098
"347" "including" 6089
"348" "hit" 6083
"349" "water" 6078
"350" "case" 6038
"351" "myself" 6018
"352" "company" 6002
"353" "group" 5996
"354" "five" 5971
"355" "center" 5942
"356" "minutes" 5942
"357" "friend" 5932
"358" "almost" 5907
"359" "w" 5905
"360" "saw" 5891
"361" "able" 5868
"362" "support" 5822
"363" "watch" 5794
"364" "hours" 5787
"365" "news" 5780
"366" "watching" 5732
"367" "side" 5720
"368" "line" 5701
"369" "probably" 5698
"370" "u.s" 5673
"371" "class" 5671
"372" "office" 5655
"373" "haha" 5647
"374" "miss" 5644
"375" "amazing" 5642
"376" "american" 5627
"377" "isn't" 5604
"378" "mind" 5603
"379" "idea" 5600
"380" "black" 5592
"381" "I'd" 5570
"382" "games" 5559
"383" "others" 5534
"384" "seen" 5531
"385" "president" 5506
"386" "true" 5462
"387" "law" 5440
"388" "along" 5435
"389" "forward" 5434
"390" "hear" 5418
"391" "they're" 5414
"392" "yeah" 5408
"393" "heart" 5394
"394" "cool" 5392
"395" "face" 5388
"396" "young" 5387
"397" "whole" 5386
"398" "car" 5379
"399" "months" 5333
"400" "asked" 5302
"401" "blog" 5301
"402" "playing" 5298
"403" "favorite" 5293
"404" "using" 5262
"405" "wasn't" 5259
"406" "taking" 5252
"407" "what's" 5243
"408" "fact" 5237
"409" "remember" 5237
"410" "local" 5230
"411" "students" 5228
"412" "mean" 5221
"413" "often" 5217
"414" "beautiful" 5193
"415" "however" 5169
"416" "following" 5169
"417" "weeks" 5163
"418" "plan" 5159
"419" "area" 5148
"420" "number" 5121
"421" "lost" 5112
"422" "summer" 5103
"423" "wish" 5102
"424" "saturday" 5100
"425" "late" 5099
"426" "comes" 5097
"427" "finally" 5073
"428" "become" 5072
"429" "health" 5066
"430" "p.m" 5051
"431" "guy" 5046
"432" "several" 5045
"433" "national" 5040
"434" "pay" 5031
"435" "movie" 5019
"436" "women" 5012
"437" "else" 4997
"438" "stay" 4994
